['O 1 [C@@H] ( [n+] 2 c c ( c c c 2 ) C ( = O ) N ) [C@@H] ( [C@@H] ( [C@H] 1 C O P ( = O ) ( O P ( = O ) ( O C [C@@H] 1 [C@@H] ( O ) [C@H] ( [C@H] ( n 2 c 3 c ( c ( n c n 3 ) N ) n c 2 ) O 1 ) O ) [O-] ) [O-] ) O ) O > c 1 2 c ( c c c c c 2 ) c ( c c 1 ) O C C 2', 'C', '1', 'O', '[H+] > *']
['C = C c 1 c ( C ) c 2 n 3 c 1 C = C 1 C ( C ) = C ( C C ) C 4 = [N+] 1 [Mg-2] 3 1 n 3 c ( c ( C ) c 5 c 3 = C ( C 3 = [N+] 1 C ( = C 2 ) [C@@H] ( C ) [C@@H] 3 C C C ( = O ) O ) [C@@H] ( C ( = O ) O C ) C 5 = O ) = C 4 > [C-] ( C ( = O ) O ) ( [C@H] ( C C C = c 1 n 3 c 1 c ( C ) c ( C ) c 1 4 ) C C ) C', 'O', '[C@@H] ( C ( C ) C 3 C', '* > O', 'P ( = O ) ( O ) ( O ) O ) O']
['O = C [C@H] ( O ) c 1 c c ( O ) c ( O ) c ( O ) c 1 > [NH4+]', 'O', 'C ( = O ) C > [NH4+]', 'C O O', '3 c 1 c c c c c c c ( O O O']
['C [S@@+] ( C C [C@H] ( [NH3+] ) C ( = O ) [O-] ) C [C@H] 1 O [C@@H] ( n 2 c n c 3 c ( N ) n c n c 3 2 ) [C@H] ( O ) [C@@H] 1 O > * N C ( = O ) [C@H] ( C c 1 c [nH] c ( C C [C@H] ( [NH2+] C ) C ( = O ) [O-] ) n 1 ) N C ( * ) = O', '*', 'C', '*', '[C@H] ( C ( N ) = O ) O']
['[O-] P ( [O-] ) ( O [C@H] ( C O P ( = O ) ( [O-] ) [O-] ) [C@@H] 1 O ) = O > O = O', 'O', '*', '[H+]', '*']
['* O [C@@H] 1 [C@H] ( O ) [C@@H] ( C O P ( = O ) ( [O-] ) O P ( = O ) ( [O-] ) O C [C@H] 2 O [C@@H] ( N 3 C = C C C ( C ( N ) = O ) = C 3 ) [C@H] ( O ) [C@@H] 2 O ) O [C@H] 1 n 1 c n c 2 c ( N ) n c n c 2 1 > * O P ( = O ) ( [O-] ) O C [C@H] 1 O [C@@H] ( n 2 c c c ( = O ) [nH] c 2 = O ) [C@H] ( O ) [C@@H] 1 O P ( = O ) ( [O-] ) O *', '', '', 'C C ( = O ) C 1', '']
['[O-] P ( O P ( [O-] ) ( O C [C@H] 1 O [C@H] ( [C@@H] ( [C@@H] 1 O ) O ) n 1 c n c 2 c ( n c n c 2 1 ) N ) = O ) ( = O ) O C [C@@H] 1 [C@@H] ( O ) [C@H] ( [C@H] ( N 2 C = C ( C ( N ) = O ) C C = C 2 ) O 1 ) O > C C ( = O ) ( C ) / C = C ( / C C [C@H] 1 O C ( [C@@H] 1 O ) O ) C > O', '[C@H] 1 s 1 c n c 2 c ( c ( n c n c 2 N ) c 1 ) C', '= O', 'F', 'F']
['N c 1 n c 2 c ( n c n 2 [C@@H] 2 O [C@H] ( C O P ( = O ) ( [O-] ) O P ( = O ) ( [O-] ) [O-] ) [C@@H] ( O ) [C@H] 2 O ) c ( = O ) [nH] 1 > O = P ( [O-] ) ( [O-] ) O C [C@H] 1 O C ( O ) [C@H] ( O ) [C@@H] ( O ) [C@@H] 1 O > [H+]', 'C O', '', 'N', 'c 1 [nH] c n c 2 c 1 = O']
['C 1 C [C@H] 2 C ( = C [C@@] 3 ( [C@@H] 2 O ) C [C@] ( [C@H] 2 1 ) ( C ) C C ( C = 3 ) = O ) C > [H+] > C 1 N ( [C@H] 2 [C@H] ( O P ( [O-] ) ( = O ) [O-] ) [C@@H] ( [C@@H] ( C O P ( [O-] ) ( O P ( [O-] ) ( O C [C@H] 3 O [C@@H] ( n 4 c n c 5 c 4 n c n c 5 N ) [C@@H] ( [C@@H] 4 O ) O ) = O ) = O ) O 2 ) O ) C = C ( C 1 ) C ( = O ) N', 'C C = C 1', 'C ( = O ) N', 'C', 'N']
['[H+] > [O-] C ( = O ) [C@@H] ( [NH3+] ) C C C ( [O-] ) = O > S C C [C@@H] ( C ( = O ) [O-] ) N C ( = O ) C C [C@H] ( [NH3+] ) C ( = O ) [O-]', 'O', '', 'c 1 c c c c c c c 1', '[H+]']
['S ( C C [C@H] ( [NH3+] ) C ( [O-] ) = O ) C [C@@H] 1 [C@@H] ( O ) [C@H] ( [C@@H] ( O 1 ) n 1 c 2 c ( n c 1 ) c ( N ) n c n 2 ) O > n 1 c 2 c ( n c 3 c ( C ) n c 1 n ( [C@@H] 1 O [C@@H] ( [C@H] ( [C@H] 1 O ) O P ( [O-] ) ( O * ) = O ) C O P ( = O ) ( O * ) [O-] ) c n 2 C ) C C ( O C ( [NH3+] ) C ( [O-] ) = O ) = O', 'c ( n 2 ) c ( C ) N', 'c 1', 'C', '[n+] ( C ) C']
