25888	dihydroxyacetone phosphate	57642	C(CO)(COP([O-])(=O)[O-])=O
25888	iminosuccinate	77875	[O-]C(=O)CC(=[NH2+])C([O-])=O
25888	H+	15378	[H+]
25888	H2O	15377	[H]O[H]
25888	phosphate	43474	OP([O-])([O-])=O
25888	quinolinate	29959	[O-]C(=O)c1cccnc1C([O-])=O
52420	O-phospho-L-serine	57524	[NH3+][C@@H](COP([O-])([O-])=O)C([O-])=O
52420	thiosulfate	33542	[H]SS([O-])(=O)=O
52420	phosphate	43474	OP([O-])([O-])=O
52420	S-sulfo-L-cysteine	62225	[NH3+][C@@H](CSS([O-])(=O)=O)C([O-])=O
34379	α-L-rhamnosyl-(1→3)-N-acetyl-α-D-glucosaminyl-diphospho-trans,octa-cis-decaprenol	67209	C[C@@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](CO)O[C@H](OP([O-])(=O)OP([O-])(=O)OC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(/C)CCC=C(C)C)[C@@H]2NC(C)=O)[C@H](O)[C@H](O)[C@H]1O
34379	UDP-α-D-galactofuranose	66915	[H][C@]1(O[C@H](OP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@H]1O)[C@H](O)CO
34379	β-D-galactofuranosyl-(1→5)-β-D-galactofuranosyl-(1→4)-α-L-rhamnosyl-(1→3)-N-acetyl-α-D-glucosaminyl-diphospho-trans,octa-cis-decaprenol	67210	[H][C@]1(O[C@@H](O[C@H](CO)[C@]2([H])O[C@@H](O[C@H]3[C@H](C)O[C@@H](O[C@H]4[C@H](O)[C@@H](CO)O[C@H](OP([O-])(=O)OP([O-])(=O)OC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(\C)CC\C=C(/C)CCC=C(C)C)[C@@H]4NC(C)=O)[C@H](O)[C@@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)CO
34379	H+	15378	[H+]
34379	UDP	58223	O[C@@H]1[C@@H](COP([O-])(=O)OP([O-])([O-])=O)O[C@H]([C@@H]1O)n1ccc(=O)[nH]c1=O
34271	2-nitroimidazole	67135	[O-][N+](=O)c1ncc[nH]1
34271	H2O	15377	[H]O[H]
34271	1,3-dihydro-2H-imidazol-2-one	51022	O=c1[nH]cc[nH]1
34271	H+	15378	[H+]
34271	nitrite	16301	[O-]N=O
18385	acetone	15347	CC(C)=O
18385	ATP	30616	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O
18385	H2O	15377	[H]O[H]
18385	hydrogencarbonate	17544	OC([O-])=O
18385	acetoacetate	13705	CC(=O)CC([O-])=O
18385	AMP	456215	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O
18385	H+	15378	[H+]
18385	phosphate	43474	OP([O-])([O-])=O
45624	ATP	30616	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O
45624	holo-[CmaA peptidyl-carrier protein]	64479	C(NC(CCNC(=O)[C@@H](C(COP(OC[C@@H](C(*)=O)N*)(=O)[O-])(C)C)O)=O)CS
45624	L-alloisoleucine	85338	CC[C@@H](C)[C@H]([NH3+])C([O-])=O
45624	AMP	456215	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O
45624	diphosphate	33019	OP([O-])(=O)OP([O-])([O-])=O
45624	L-alloisoleucyl-[CmaA peptidyl-carrier protein]	85339	CC[C@@H](C)[C@H]([NH3+])C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OC[C@H](N-*)C(-*)=O
59260	Fe(III)-[N-(2,3-dihydroxybenzoyl)-L-serine]3	143011	C1([C@H](CO)NC(=O)C2=C3C(=CC=C2)O[Fe-3]456(O3)OC7=C(C=CC=C7O4)C(=O)N[C@H](C(OC[C@@H](C([O-])=O)NC(=O)C8=C(C(=CC=C8)O5)O6)=O)CO1)=O
59260	H+	15378	[H+]
59260	H2O	15377	[H]O[H]
59260	Fe(III)-[N-(2,3-dihydroxybenzoyl)-L-serine]2	143012	C1([C@H](CO)NC(=O)C2=C3C(=CC=C2)O[Fe-]4(O3)OC5=C(C=CC=C5O4)C(=O)N[C@H](C([O-])=O)CO1)=O
59260	N-(2,3-dihydroxybenzoyl)-L-serine	58154	OC[C@H](NC(=O)c1cccc(O)c1O)C([O-])=O
19573	polyphosphate	16838	-
19573	ATP	30616	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O
19573	ADP	456216	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O
16873	(6R)-5,10-methylene-5,6,7,8-tetrahydrofolate	15636	[H][C@]12CNc3nc(N)[nH]c(=O)c3N1CN(C2)c1ccc(cc1)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O
16873	H+	15378	[H+]
16873	NADH	57945	NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O
16873	uridine54 in tRNA	65315	C1=CC(NC(N1[C@@H]2O[C@H](COP(*)(=O)[O-])[C@H]([C@H]2O)O*)=O)=O
16873	(6S)-5,6,7,8-tetrahydrofolate	57453	Nc1nc2NC[C@H](CNc3ccc(cc3)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O)Nc2c(=O)[nH]1
16873	5-methyluridine54 in tRNA	74447	[C@@H]1(N2C(NC(=O)C(=C2)C)=O)O[C@H](COP(*)(=O)[O-])[C@H]([C@H]1O)O*
16873	NAD+	57540	NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O
25792	ATP	30616	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O
25792	Cu+	49552	[Cu+]
25792	H2O	15377	[H]O[H]
25792	ADP	456216	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]1O
25792	H+	15378	[H+]
