EC	count
1.10.3.15	1
1.10.3.16	3
1.10.3.4	2
1.10.3.9	3314
1.1.1.1	5558
1.1.1.100	59070
1.1.1.103	13546
1.1.1.107	2
1.1.1.108	6564
1.1.1.11	3
1.11.1.1	5
1.11.1.10	5
1.11.1.16	1
1.11.1.17	1
1.11.1.18	2
1.1.1.119	1
1.11.1.19	2
1.1.1.120	1
1.11.1.21	36210
1.1.1.122	0
1.11.1.22	2
1.11.1.23	2
1.1.1.124	1
1.11.1.24	31264
1.11.1.26	21778
1.1.1.127	3
1.11.1.27	17632
1.11.1.28	7526
1.11.1.29	3
1.1.1.130	2058
1.1.1.132	2978
1.1.1.133	72160
1.1.1.135	1
1.1.1.136	1
1.1.1.14	3
1.1.1.140	2
1.1.1.144	2
1.1.1.145	2
1.11.1.5	3
1.1.1.157	9
1.1.1.159	3
1.1.1.16	3
1.11.1.6	49490
1.1.1.163	2
1.1.1.169	65492
1.1.1.17	10034
1.11.1.7	50
1.1.1.175	1
1.1.1.176	1
1.1.1.179	1
1.1.1.18	7234
1.1.1.184	1
1.11.1.9	2648
1.1.1.192	2
1.1.1.193	59776
1.1.1.194	1
1.1.1.2	9
1.1.1.201	4
1.1.1.202	2
1.1.1.203	3
1.1.1.205	57910
1.1.1.212	1
1.1.1.215	3
1.1.1.218	1
1.1.1.219	1
1.1.1.22	76870
1.1.1.23	58244
1.1.1.233	1
1.1.1.237	2
1.1.1.24	3
1.11.2.4	2
1.1.1.243	1
1.1.1.244	1
1.1.1.25	59016
1.11.2.5	1
1.1.1.251	2
1.1.1.256	1
1.1.1.257	2
1.1.1.261	190
1.1.1.262	26478
1.1.1.264	1
1.1.1.266	1
1.1.1.267	61980
1.1.1.268	1
1.1.1.269	1
1.1.1.27	21498
1.1.1.271	28034
1.1.1.274	2
1.1.1.276	2
1.1.1.28	1100
1.1.1.281	2
1.1.1.282	1338
1.1.1.283	1
1.1.1.284	22482
1.1.1.29	3
1.1.1.290	12008
1.1.1.291	1
1.1.1.292	2
1.1.1.298	1322
1.1.1.3	83514
