piece:0	epoch:0	loss:0.09894831	accuracy:0.93380000	lr:0.0001	seqs/sec:673.6	device: cuda:0
piece:0	epoch:0	loss:0.09900538	accuracy:0.93280000	lr:0.0001	seqs/sec:673.6	device: cuda:1
piece:0	epoch:1	loss:0.09483142	accuracy:0.94666667	lr:0.0001	seqs/sec:674.4	device: cuda:0
piece:0	epoch:1	loss:0.09492463	accuracy:0.94536667	lr:0.0001	seqs/sec:674.4	device: cuda:1
piece:0	epoch:2	loss:0.09481909	accuracy:0.94666667	lr:0.0001	seqs/sec:666.0	device: cuda:0
piece:0	epoch:2	loss:0.09491234	accuracy:0.94536667	lr:0.0001	seqs/sec:666.0	device: cuda:1
piece:0	epoch:3	loss:0.09481695	accuracy:0.94666667	lr:0.0001	seqs/sec:666.5	device: cuda:0
piece:0	epoch:3	loss:0.09491020	accuracy:0.94536667	lr:0.0001	seqs/sec:666.5	device: cuda:1
piece:0	epoch:4	loss:0.09481643	accuracy:0.94666667	lr:0.0001	seqs/sec:664.5	device: cuda:0
piece:0	epoch:4	loss:0.09490968	accuracy:0.94536667	lr:0.0001	seqs/sec:664.5	device: cuda:1
piece:0	epoch:5	loss:0.09490954	accuracy:0.94536667	lr:0.0001	seqs/sec:666.0	device: cuda:1
piece:0	epoch:5	loss:0.09481628	accuracy:0.94666667	lr:0.0001	seqs/sec:666.0	device: cuda:0
piece:0	epoch:6	loss:0.09490950	accuracy:0.94536667	lr:0.0001	seqs/sec:665.1	device: cuda:1
piece:0	epoch:6	loss:0.09481624	accuracy:0.94666667	lr:0.0001	seqs/sec:665.1	device: cuda:0
piece:0	epoch:7	loss:0.09490948	accuracy:0.94536667	lr:0.0001	seqs/sec:667.7	device: cuda:1
piece:0	epoch:7	loss:0.09481623	accuracy:0.94666667	lr:0.0001	seqs/sec:667.7	device: cuda:0
piece:0	epoch:8	loss:0.09481622	accuracy:0.94666667	lr:0.0001	seqs/sec:668.5	device: cuda:0
piece:0	epoch:8	loss:0.09490948	accuracy:0.94536667	lr:0.0001	seqs/sec:668.5	device: cuda:1
piece:0	epoch:9	loss:0.09490948	accuracy:0.94536667	lr:0.0001	seqs/sec:665.8	device: cuda:1
piece:0	epoch:9	loss:0.09481622	accuracy:0.94666667	lr:0.0001	seqs/sec:665.8	device: cuda:0
piece:0	epoch:10	loss:0.09481622	accuracy:0.94666667	lr:9e-05	seqs/sec:669.1	device: cuda:0
piece:0	epoch:10	loss:0.09490948	accuracy:0.94536667	lr:9e-05	seqs/sec:669.1	device: cuda:1
piece:0	epoch:11	loss:0.09490948	accuracy:0.94536667	lr:9e-05	seqs/sec:669.6	device: cuda:1
piece:0	epoch:11	loss:0.09481622	accuracy:0.94666667	lr:9e-05	seqs/sec:669.6	device: cuda:0
piece:0	epoch:12	loss:0.09490948	accuracy:0.94536667	lr:9e-05	seqs/sec:666.3	device: cuda:1
piece:0	epoch:12	loss:0.09481622	accuracy:0.94666667	lr:9e-05	seqs/sec:666.3	device: cuda:0
piece:0	epoch:13	loss:0.09481622	accuracy:0.94666667	lr:8.1e-05	seqs/sec:666.5	device: cuda:0
piece:0	epoch:13	loss:0.09490948	accuracy:0.94536667	lr:8.1e-05	seqs/sec:666.5	device: cuda:1
piece:0	epoch:14	loss:0.09481622	accuracy:0.94666667	lr:8.1e-05	seqs/sec:667.1	device: cuda:0
piece:0	epoch:14	loss:0.09490948	accuracy:0.94536667	lr:8.1e-05	seqs/sec:667.1	device: cuda:1
piece:0	epoch:15	loss:0.09490948	accuracy:0.94536667	lr:8.1e-05	seqs/sec:668.0	device: cuda:1
piece:0	epoch:15	loss:0.09481622	accuracy:0.94666667	lr:8.1e-05	seqs/sec:668.0	device: cuda:0
piece:0	epoch:16	loss:0.09481622	accuracy:0.94666667	lr:7.290000000000001e-05	seqs/sec:669.6	device: cuda:0
piece:0	epoch:16	loss:0.09490948	accuracy:0.94536667	lr:7.290000000000001e-05	seqs/sec:669.6	device: cuda:1
piece:0	epoch:17	loss:0.09490948	accuracy:0.94536667	lr:7.290000000000001e-05	seqs/sec:667.6	device: cuda:1
piece:0	epoch:17	loss:0.09481622	accuracy:0.94666667	lr:7.290000000000001e-05	seqs/sec:667.6	device: cuda:0
piece:0	epoch:18	loss:0.09481622	accuracy:0.94666667	lr:7.290000000000001e-05	seqs/sec:666.0	device: cuda:0
piece:0	epoch:18	loss:0.09490948	accuracy:0.94536667	lr:7.290000000000001e-05	seqs/sec:666.0	device: cuda:1
piece:0	epoch:19	loss:0.09481622	accuracy:0.94666667	lr:6.561000000000002e-05	seqs/sec:668.2	device: cuda:0
piece:0	epoch:19	loss:0.09490948	accuracy:0.94536667	lr:6.561000000000002e-05	seqs/sec:668.2	device: cuda:1
piece:0	epoch:20	loss:0.09481622	accuracy:0.94666667	lr:6.561000000000002e-05	seqs/sec:666.2	device: cuda:0
piece:0	epoch:20	loss:0.09490948	accuracy:0.94536667	lr:6.561000000000002e-05	seqs/sec:666.2	device: cuda:1
piece:0	epoch:21	loss:0.09481622	accuracy:0.94666667	lr:6.561000000000002e-05	seqs/sec:666.4	device: cuda:0
piece:0	epoch:21	loss:0.09490948	accuracy:0.94536667	lr:6.561000000000002e-05	seqs/sec:666.4	device: cuda:1
piece:0	epoch:22	loss:0.09490948	accuracy:0.94536667	lr:5.904900000000002e-05	seqs/sec:668.9	device: cuda:1
piece:0	epoch:22	loss:0.09481622	accuracy:0.94666667	lr:5.904900000000002e-05	seqs/sec:668.9	device: cuda:0
piece:0	epoch:23	loss:0.09490948	accuracy:0.94536667	lr:5.904900000000002e-05	seqs/sec:670.4	device: cuda:1
piece:0	epoch:23	loss:0.09481622	accuracy:0.94666667	lr:5.904900000000002e-05	seqs/sec:670.4	device: cuda:0
piece:0	epoch:24	loss:0.09481622	accuracy:0.94666667	lr:5.904900000000002e-05	seqs/sec:667.8	device: cuda:0
piece:0	epoch:24	loss:0.09490948	accuracy:0.94536667	lr:5.904900000000002e-05	seqs/sec:667.8	device: cuda:1
piece:0	epoch:25	loss:0.09490948	accuracy:0.94536667	lr:5.314410000000002e-05	seqs/sec:667.3	device: cuda:1
piece:0	epoch:25	loss:0.09481622	accuracy:0.94666667	lr:5.314410000000002e-05	seqs/sec:667.3	device: cuda:0
