piece:0	epoch:0	loss:0.09807122	accuracy:0.93510000	lr:0.0001	seqs/sec:664.8	device: cuda:1
piece:0	epoch:0	loss:0.09800246	accuracy:0.93643333	lr:0.0001	seqs/sec:665.4	device: cuda:0
piece:0	epoch:1	loss:0.09482707	accuracy:0.94666667	lr:0.0001	seqs/sec:667.3	device: cuda:0
piece:0	epoch:1	loss:0.09492039	accuracy:0.94536667	lr:0.0001	seqs/sec:667.2	device: cuda:1
piece:0	epoch:2	loss:0.09481848	accuracy:0.94666667	lr:0.0001	seqs/sec:659.7	device: cuda:0
piece:0	epoch:2	loss:0.09491175	accuracy:0.94536667	lr:0.0001	seqs/sec:659.8	device: cuda:1
piece:0	epoch:3	loss:0.09481683	accuracy:0.94666667	lr:0.0001	seqs/sec:657.5	device: cuda:0
piece:0	epoch:3	loss:0.09491009	accuracy:0.94536667	lr:0.0001	seqs/sec:657.7	device: cuda:1
piece:0	epoch:4	loss:0.09481640	accuracy:0.94666667	lr:0.0001	seqs/sec:657.0	device: cuda:0
piece:0	epoch:4	loss:0.09490966	accuracy:0.94536667	lr:0.0001	seqs/sec:657.0	device: cuda:1
piece:0	epoch:5	loss:0.09490953	accuracy:0.94536667	lr:0.0001	seqs/sec:656.9	device: cuda:1
piece:0	epoch:5	loss:0.09481628	accuracy:0.94666667	lr:0.0001	seqs/sec:656.9	device: cuda:0
piece:0	epoch:6	loss:0.09481624	accuracy:0.94666667	lr:0.0001	seqs/sec:661.4	device: cuda:0
piece:0	epoch:6	loss:0.09490949	accuracy:0.94536667	lr:9e-05	seqs/sec:661.4	device: cuda:1
piece:0	epoch:7	loss:0.09481623	accuracy:0.94666667	lr:0.0001	seqs/sec:662.9	device: cuda:0
piece:0	epoch:7	loss:0.09490948	accuracy:0.94536667	lr:9e-05	seqs/sec:662.9	device: cuda:1
piece:0	epoch:8	loss:0.09490948	accuracy:0.94536667	lr:9e-05	seqs/sec:660.8	device: cuda:1
piece:0	epoch:8	loss:0.09481622	accuracy:0.94666667	lr:0.0001	seqs/sec:660.7	device: cuda:0
piece:0	epoch:9	loss:0.09481622	accuracy:0.94666667	lr:9e-05	seqs/sec:661.7	device: cuda:0
piece:0	epoch:9	loss:0.09490948	accuracy:0.94536667	lr:8.1e-05	seqs/sec:661.6	device: cuda:1
piece:0	epoch:10	loss:0.09490948	accuracy:0.94536667	lr:8.1e-05	seqs/sec:664.7	device: cuda:1
